model,experiment,type,intensity,sour,sweetness,liking
gBLUP,83,metabolomic,0.651862523,0.600343789,0.601686642,0.448102046
gBLUP,84,metabolomic,0.782319069,0.585902777,0.630133534,0.470536524
gBLUP,85,metabolomic,0.800832871,0.368818943,0.665634806,0.426653344
gBLUP,86,metabolomic,0.753650321,0.583308656,0.746541289,0.413757465
gBLUP,87,metabolomic,0.732566102,0.415573911,0.688130851,0.565856223
gBLUP,88,metabolomic,0.777584407,0.625459164,0.658063438,0.440059748
gBLUP,89,metabolomic,0.776811129,0.60843053,0.689977525,0.458296615
gBLUP,90,metabolomic,0.730492492,0.54165763,0.699116269,0.456586325
gBLUP,91,metabolomic,0.814802209,0.675658043,0.716784435,0.372045423
gBLUP,92,metabolomic,0.789201453,0.506725677,0.698511319,0.549935941
gBLUP,93,metabolomic,0.755254709,0.403470159,0.676482525,0.450896177
gBLUP,94,metabolomic,0.794003731,0.540380921,0.569419531,0.486597287
gBLUP,95,metabolomic,0.713023334,0.534832533,0.741549412,0.453176652
gBLUP,96,metabolomic,0.819131079,0.53234864,0.740685721,0.363655
gBLUP,97,metabolomic,0.797247973,0.519867939,0.645819854,0.479304887
gBLUP,98,metabolomic,0.768208549,0.564902561,0.676626539,0.431322152
gBLUP,99,metabolomic,0.789773964,0.609201307,0.577128178,0.410423046
gBLUP,100,metabolomic,0.778082497,0.356094004,0.718152653,0.497998268
